# qyy pseudo-locale render — as-of 2026-09-10 (deterministic)
settings.heading	IDS_XR_SETTINGS_HEADING	‏«Séttîñgs ēx»
settings.identity.default_grade.desc	IDS_XR_SETTINGS_IDENTITY_DEFAULT_GRADE_DESC	‏«Thé défáûlt prõtéçtîõñ grádé ápplîéd tõ ñéw sîtés fõr thîs îdéñtîty. ēxðañd ēxðañd ēxðañd ēxðañ»
palette.command-label	IDS_XR_PALETTE_COMMAND_LABEL	‏«Cõmmáñd ē»
palette.commands-aria	IDS_XR_PALETTE_COMMANDS_ARIA	‏«Cõmmáñds ēx»
palette.registry-off	IDS_XR_PALETTE_REGISTRY_OFF	‏«Cõmmáñd régîstry îs õff (stõçk çhrõmé). ēxðañd ēxðañd »
palette.empty	IDS_XR_PALETTE_EMPTY	‏«Nõ çõmmáñds mátçh “ ēxðañd{QUERY}”.»
shortcuts.title	IDS_XR_SHORTCUTS_TITLE	‏«Shõrtçûts ēx»
shortcuts.current-aria	IDS_XR_SHORTCUTS_CURRENT_ARIA	‏«Cûrréñt shõrtçûts ēxðañ»
shortcuts.empty	IDS_XR_SHORTCUTS_EMPTY	‏«Nõ shõrtçûts bõûñd yét. ēxðañd ē»
shortcuts.cannot-bind	IDS_XR_SHORTCUTS_CANNOT_BIND	‏«Cáññõt bîñd: ēxð»
shortcuts.conflict-duplicate	IDS_XR_SHORTCUTS_CONFLICT_DUPLICATE	‏«“{ACCELERATOR}” îs álréády bõûñd tõ  ēxðañd {COMMAND}. Chõõsé á dîfféréñt áççélérátõr õr ûñbîñd ît fîrst. ēxðañd ēxðañd ēxðañ»
shortcuts.conflict-browser	IDS_XR_SHORTCUTS_CONFLICT_BROWSER	‏«“{ACCELERATOR}” îs résérvéd by thé brõwsér (déñîéd by défáûlt). ēxðañd ēxðañd ēxða»
shortcuts.conflict-system	IDS_XR_SHORTCUTS_CONFLICT_SYSTEM	‏«“{ACCELERATOR}” îs résérvéd by thé OS (déñîéd by défáûlt). ēxðañd ēxðañd ēx»
shortcuts.another-command	IDS_XR_SHORTCUTS_ANOTHER_COMMAND	‏«áñõthér çõmmáñd ēxðañ»
help.title	IDS_XR_HELP_TITLE	‏«Hélp — Cõmmáñd Iñdéx ēxðañd »
help.intro	IDS_XR_HELP_INTRO	‏«Evéry çõmmáñd, évéry grõûp. Dîsábléd çõmmáñds áré shõwñ wîth thé réásõñ — ñõthîñg héré îs á “çõmîñg sõõñ” pláçéhõldér. ēxðañd ēxðañd ēxðañd ēxðañd ēxðañd ēxðañd ēxða»
help.col-command	IDS_XR_HELP_COL_COMMAND	‏«Cõmmáñd ē»
help.col-tier	IDS_XR_HELP_COL_TIER	‏«Tîér »
help.col-class	IDS_XR_HELP_COL_CLASS	‏«Cláss ē»
help.col-status	IDS_XR_HELP_COL_STATUS	‏«Státûs ē»
help.status-enabled	IDS_XR_HELP_STATUS_ENABLED	‏«éñábléd ē»
help.status-disabled	IDS_XR_HELP_STATUS_DISABLED	‏«dîsábléd —  ēxð{REASON}»
help.empty	IDS_XR_HELP_EMPTY	‏«Nõ çõmmáñds (régîstry flág õff). ēxðañd ēxða»
help.no-entry	IDS_XR_HELP_NO_ENTRY	‏«Nõ hélp éñtry fõr “ ēxðañd{ID}”.»
about.heading	IDS_XR_ABOUT_HEADING	‏«Abõût XR ēx»
about.version	IDS_XR_ABOUT_VERSION	‏«Vérsîõñ ē»
about.chromium-base	IDS_XR_ABOUT_CHROMIUM_BASE	‏«Chrõmîûm básé  ēxða{CHROMIUM_REV}»
about.build-hash	IDS_XR_ABOUT_BUILD_HASH	‏«Bûîld ē»
about.signature-status	IDS_XR_ABOUT_SIGNATURE_STATUS	‏«Sîgñátûré ēx»
about.not-signed-dev-channel	IDS_XR_ABOUT_NOT_SIGNED_DEV_CHANNEL	‏«ñõt sîgñéd: dév çháññél ēxðañd ē»
about.rollback	IDS_XR_ABOUT_ROLLBACK	‏«Rõllbáçk áváîláblé ēxðañd»
about.update-heading	IDS_XR_ABOUT_UPDATE_HEADING	‏«Updátés ē»
about.check-now	IDS_XR_ABOUT_CHECK_NOW	‏«Chéçk fõr ûpdátés ēxðañ»
about.state-idle	IDS_XR_ABOUT_STATE_IDLE	‏«Up tõ dáté ēxð»
about.state-checking	IDS_XR_ABOUT_STATE_CHECKING	‏«Chéçkîñg fõr ûpdátés… ēxðañd »
about.state-available	IDS_XR_ABOUT_STATE_AVAILABLE	‏«Añ ûpdáté îs áváîláblé ēxðañd »
about.state-downloading	IDS_XR_ABOUT_STATE_DOWNLOADING	‏«Dõwñlõádîñg ûpdáté… ēxðañd»
about.state-ready	IDS_XR_ABOUT_STATE_READY	‏«Updáté réády tõ ápply ēxðañd »
about.state-failed	IDS_XR_ABOUT_STATE_FAILED	‏«Updáté fáîléd:  ēxðañ{REASON}»
about.state-refused	IDS_XR_ABOUT_STATE_REFUSED	‏«Updáté réfûséd:  ēxðañ{REASON}»
about.manual-download	IDS_XR_ABOUT_MANUAL_DOWNLOAD	‏«Yõû çáñ dõwñlõád thé látést vérsîõñ máñûálly: xr://ábõût → máñûál dõwñlõád ēxðañd ēxðañd ēxðañd ēxðañd »
about.check-again	IDS_XR_ABOUT_CHECK_AGAIN	‏«Chéçk ágáîñ ēxð»
